,HR,LF,HF,LF/HF,LF+HF,ccvTP,judgement,0,1,2,3,4,5,6,7,8
2016/10/01 20:38:30,67.65,120.61,116.94,1.13,237.55,1.7249,1.0,37.11,36.44,食事前,最適,疲れたぁ,不安…,眠い…,,
2016/10/01 20:41:33,69.02,437.4,116.89,4.76,554.29,2.675,1.0,36.44,食事前,最適,疲れたぁ,不安…,普通,,,
2016/10/02 03:35:27,67.08,188.48,269.18,0.75,457.66,2.3471,1.0,36.68,入浴後,最適,リラックス,睡眠前,,,,
2016/10/02 03:38:08,65.8,151.87,372.14,0.42,524.01,2.4729,1.0,36.68,入浴後,最適,リラックス,睡眠前,,,,
2016/10/02 09:43:13,70.72,180.81,113.06,2.82,293.87,1.8251,1.0,36.93,36.93,寒っ！,最適,リラックス,睡眠後,,,
2016/10/02 09:46:06,71.54,110.1,36.56,3.1,146.66,1.4238,1.0,食事前,36.93,最適,リラックス,睡眠後,,,,
2016/10/02 12:26:33,93.42,49.97,46.52,1.14,96.5,1.5289,1.0,36.86,食事後,最適,リラックス,睡眠後,,,,
2016/10/02 12:32:30,89.97,89.51,89.6,0.97,179.11,1.9696,1.0,36.86,36.86,入浴前,食事後,最適,リラックス,睡眠後,,
2016/10/02 17:13:55,65.28,288.0,251.01,1.35,539.01,2.4903,1.0,37.08,食事前,暑い…,不安…,普通,,,,
2016/10/02 17:16:55,67.11,340.77,139.81,2.51,480.57,2.4089,1.0,37.08,入浴前,暑い…,不安…,普通,,,,
2016/10/02 19:42:35,70.5,186.27,100.13,1.88,286.41,1.9722,1.0,37.05,食事前,最適,不安…,普通,,,,
2016/10/02 19:45:31,70.47,207.24,124.1,1.75,331.34,2.0749,1.0,37.05,食事前,最適,リラックス,眠い…,普通,,,
2016/10/03 01:00:05,69.75,650.78,274.8,2.47,925.58,3.1849,1.0,37.05,入浴後,最適,リラックス,睡眠前,,,,
2016/10/03 01:03:12,70.23,217.5,151.73,1.52,369.24,2.234,1.0,37.05,入浴後,最適,リラックス,睡眠前,,,,
2016/10/03 06:25:01,65.01,163.74,146.09,1.2,309.83,1.8818,1.0,36.61,食事前,最適,疲れたぁ,眠い…,,,,
2016/10/03 06:27:53,63.39,375.16,183.66,1.86,558.82,2.3792,1.0,36.61,食事前,36.61,最適,疲れたぁ,眠い…,,,
2016/10/03 09:23:50,74.21,560.35,161.54,3.66,721.89,3.263,1.0,36.68,食事後,最適,普通,普通,,,,
2016/10/03 09:27:18,74.82,459.88,120.75,3.96,580.63,2.9931,1.0,36.68,36.68,最適,普通,普通,,,,
2016/10/03 12:00:17,66.32,423.59,111.75,4.1,535.34,2.4425,1.0,37.05,食事前,最適,疲れたぁ,不安…,普通,,,
2016/10/03 12:06:36,67.2,344.06,122.48,3.09,466.54,2.3157,1.0,37.05,食事前,最適,疲れたぁ,不安…,普通,,,
2016/10/03 14:56:45,69.37,414.52,272.6,2.16,687.12,2.4173,1.0,37.10,食事後,最適,疲れたぁ,普通,,,,
2016/10/03 15:04:14,68.62,618.61,94.54,6.97,713.15,2.9644,2.0,37.10,食事後,最適,疲れたぁ,普通,,,,
2016/10/03 15:06:57,67.97,596.76,108.06,6.54,704.81,2.8783,2.0,37.10,食事後,最適,疲れたぁ,普通,,,,
2016/10/03 18:37:36,71.18,203.21,106.35,2.06,309.55,2.0269,1.0,37.19,食事前,最適,疲れたぁ,不安…,眠い…,,,
2016/10/03 18:41:54,72.93,393.31,37.56,10.53,430.87,2.3486,2.0,37.19,食事前,最適,疲れたぁ,不安…,眠い…,,,
2016/10/03 18:44:37,71.46,426.19,43.97,10.29,470.16,2.5729,2.0,37.19,食事前,最適,疲れたぁ,不安…,眠い…,,,
2016/10/03 22:21:57,88.11,23.21,59.06,0.4,82.27,1.3203,1.0,36.89,食事後,入浴前,最適,リラックス,普通,,,
2016/10/03 22:31:34,86.49,42.34,37.43,1.12,79.77,1.2567,1.0,36.89,食事後,入浴後,入浴前,最適,リラックス,眠い…,,
2016/10/04 00:24:05,77.75,215.48,238.06,1.05,453.54,2.7205,1.0,36.79,入浴後,最適,リラックス,睡眠前,,,,
2016/10/04 00:26:44,74.14,377.1,307.69,1.23,684.79,3.2309,0.0,36.79,入浴後,最適,リラックス,睡眠前,,,,
2016/10/04 00:30:04,73.47,238.24,435.74,0.63,673.99,3.1652,0.0,36.79,入浴後,最適,リラックス,眠い…,,,,
2016/10/04 06:09:14,64.87,228.29,115.06,2.45,343.35,1.9414,1.0,36.45,食事前,最適,疲れたぁ,眠い…,,,,
2016/10/04 06:12:09,64.29,143.69,63.53,2.6,207.22,1.5087,1.0,36.45,食事前,最適,疲れたぁ,睡眠後,眠い…,,,
2016/10/04 09:20:18,73.28,202.64,113.68,1.75,316.32,2.079,1.0,36.98,食事後,暑い…,不安…,普通,,,,
2016/10/04 09:26:03,73.26,254.94,111.86,2.37,366.8,2.2969999999999997,1.0,36.98,食事後,最適,歩行後,暑い…,不安…,普通,,
2016/10/04 11:33:31,71.86,388.44,93.65,4.32,482.09,2.5707,1.0,37.16,食事前,最適,疲れたぁ,普通,,,,
2016/10/04 11:38:19,71.29,751.77,68.02,11.41,819.79,3.3697,2.0,37.16,食事前,最適,疲れたぁ,普通,,,,
2016/10/04 11:40:58,70.78,353.94,121.48,3.35,475.42,2.4625,1.0,37.16,食事前,最適,疲れたぁ,普通,,,,
2016/10/04 15:16:05,73.71,331.58,113.48,2.63,445.06,2.4149,1.0,37.20,食事後,最適,疲れたぁ,不安…,眠い…,,,
2016/10/04 15:22:19,75.47,622.79,117.42,5.5,740.21,3.3493,2.0,37.20,食事後,最適,疲れたぁ,不安…,眠い…,,,
2016/10/04 15:24:58,72.3,348.06,99.55,3.59,447.61,2.4642,1.0,37.20,入浴前,食事後,最適,疲れたぁ,不安…,眠い…,,
2016/10/04 18:00:35,73.32,553.53,100.33,5.4,653.86,2.9739999999999998,2.0,37.10,食事前,暑い…,疲れたぁ,不安…,眠い…,,,
2016/10/04 18:07:37,77.82,278.08,49.04,5.73,327.12,2.306,2.0,37.10,食事前,暑い…,疲れたぁ,不安…,眠い…,,,
2016/10/04 21:59:46,84.95,339.59,193.16,1.42,532.75,3.0185,0.0,37.10,37.03,食事前,入浴後,最適,疲れたぁ,眠い…,,
2016/10/04 22:02:50,86.51,93.99,82.48,1.2,176.46,1.9040000000000001,1.0,37.03,入浴後,最適,疲れたぁ,眠い…,,,,
2016/10/04 22:05:59,84.51,243.06,93.56,2.59,336.63,2.532,1.0,37.03,入浴後,最適,疲れたぁ,眠い…,,,,
2016/10/04 23:57:06,76.6,284.04,178.89,1.58,462.93,2.7069,1.0,37.03,36.85,最適,疲れたぁ,眠い…,,,,
2016/10/05 00:00:05,73.57,371.72,518.6,0.69,890.32,3.6077,0.0,食事前,36.85,最適,疲れたぁ,眠い…,,,,
2016/10/05 00:02:45,71.59,376.4,131.45,3.18,507.85,2.6389,1.0,36.85,最適,疲れたぁ,普通,眠い…,,,,
2016/10/05 06:15:43,65.24,248.63,272.33,1.08,520.96,2.3854,1.0,36.46,食事前,最適,疲れたぁ,眠い…,,,,
2016/10/05 06:18:33,64.15,538.56,221.05,3.05,759.6,2.8236,1.0,36.46,食事前,最適,疲れたぁ,眠い…,,,,
2016/10/05 08:58:21,85.12,80.89,41.61,2.25,122.51,1.5566,1.0,36.68,食事後,歩行後,不安…,普通,,,,
2016/10/05 09:05:16,85.65,100.11,48.44,2.15,148.55,1.7388,1.0,,,,,,,,,
2016/10/05 09:07:46,84.13,347.78,41.89,7.67,389.66,2.5549,2.0,36.68,最適,歩行後,リラックス,普通,,,,
2016/10/05 09:10:49,83.7,204.39,51.55,4.28,255.94,2.1703,1.0,36.68,最適,歩行後,リラックス,普通,,,,
2016/10/05 12:04:43,68.75,248.69,183.75,1.46,432.44,2.3514,1.0,36.97,食事前,最適,疲れたぁ,普通,,,,
2016/10/05 12:12:24,70.31,375.24,88.73,4.83,463.97,2.4842,1.0,36.97,食事前,最適,疲れたぁ,普通,,,,
2016/10/05 16:03:46,73.88,764.77,149.0,5.46,913.77,3.6754,2.0,,,,,,,,,
2016/10/05 16:09:47,71.75,337.46,75.61,4.73,413.07,2.3677,1.0,36.97,入浴前,食事後,最適,疲れたぁ,眠い…,,,
2016/10/05 16:12:29,73.44,538.36,79.73,7.12,618.1,2.7407,2.0,36.97,食事後,最適,疲れたぁ,眠い…,,,,
